,xst,yst,xin,yin,exitcell,exitface,dtau,tsum,line
0,1750.0,1004.1666666666667,1750.0,1004.1666666666667,70.0,3.0,11.130899376669635,11.130899376669635,0
1,1775.442422155221,1000.0,1750.0,1004.1666666666667,71.0,2.0,6.258556433378504,17.38945581004814,0
2,1750.0,960.0957507500977,1775.442422155221,1000.0,55.0,1.0,55.960551480352855,73.350007290401,0
3,1714.5242512866264,750.0,1750.0,960.0957507500977,54.0,2.0,57.51748329282973,130.86749058323073,0
4,1500.0,557.7087017751476,1714.5242512866264,750.0,38.0,1.0,83.79082695722374,214.65831754045448,0
5,1454.4474422184594,500.0,1500.0,557.7087017751476,37.0,2.0,16.295564999772594,230.95388254022708,0
6,,,,,,,22.26179875333927,253.21568129356635,0
7,1750.0,1012.5,1750.0,1012.5,70.0,3.0,11.130899376669635,11.130899376669635,1
8,1826.3272664656622,1000.0,1750.0,1012.5,71.0,2.0,20.55589823275035,31.686797609419987,1
9,1750.0,880.2872522502964,1826.3272664656622,1000.0,55.0,1.0,159.28351251018816,190.97031011960814,1
10,1728.0003269705098,750.0,1750.0,880.2872522502964,54.0,2.0,39.68851757729454,230.65882769690268,1
11,1500.0,545.6292651954202,1728.0003269705098,750.0,38.0,1.0,89.89119135089054,320.5500190477932,1
12,1463.9823860976417,500.0,1500.0,545.6292651954202,37.0,2.0,12.763526948604568,333.3135459963978,1
13,,,,,,,22.26179875333927,355.5753447497371,1
14,1750.0,1020.8333333333333,1750.0,1020.8333333333333,70.0,3.0,11.130899376669635,11.130899376669635,2
15,1877.2121107761036,1000.0,1750.0,1020.8333333333333,71.0,2.0,38.14782997189548,49.27872934856512,2
16,1750.0,800.4787537504965,1877.2121107761036,1000.0,55.0,1.0,252.92586245756277,302.2045918061279,2
17,1741.4764026543928,750.0,1750.0,800.4787537504965,54.0,2.0,17.486338521936666,319.69093032806455,2
18,1500.0,533.5498286156933,1741.4764026543928,750.0,38.0,1.0,96.11361912674795,415.8045494548125,2
19,1473.5173299768232,500.0,1500.0,533.5498286156933,37.0,2.0,9.297812041715895,425.1023614965284,2
20,,,,,,,22.26179875333927,447.36416024986767,2
