,xst,yst,xin,yin,exitcell,exitface,dtau,tsum,line
0,4200.0,3529.166666666667,4200.0,3529.166666666667,60.0,3.0,69.81300089047195,69.81300089047195,0
1,4294.623419525302,3500.0,4200.0,3529.166666666667,61.0,2.0,47.04576996780283,116.8587708582748,0
2,4900.0,3116.1441767582774,4294.623419525302,3500.0,50.0,3.0,605.1944956165643,722.0532664748391,0
3,5600.0,3013.017468364757,4900.0,3116.1441767582774,51.0,3.0,884.8115901190968,1606.8648565939359,0
4,6300.0,2878.6029914752107,5600.0,3013.017468364757,52.0,3.0,1376.7735380807828,2983.6383946747187,0
5,6670.550918372815,2800.0,6300.0,2878.6029914752107,53.0,2.0,998.8133534833182,3982.451748158037,0
6,7000.0,2621.862002087607,6670.550918372815,2800.0,42.0,3.0,1686.8794799501907,5669.331228108227,0
7,7285.6414129245395,2100.0,7000.0,2621.862002087607,43.0,2.0,2233.214331792773,7902.545559901,0
8,7467.978008548864,1400.0,7285.6414129245395,2100.0,32.0,2.0,1720.219695973507,9622.765255874507,0
9,7546.7250097056185,700.0,7467.978008548864,1400.0,21.0,2.0,1053.4007877579552,10676.166043632462,0
10,,,,,,,363.6093796378748,11039.775423270337,0
11,4200.0,3587.5,4200.0,3587.5,60.0,3.0,69.81300089047195,69.81300089047195,1
12,4483.870258575904,3500.0,4200.0,3587.5,61.0,2.0,149.81264550330624,219.6256463937782,1
13,4900.0,3236.1413876558186,4483.870258575904,3500.0,50.0,3.0,415.36498147409816,634.9906278678764,1
14,5600.0,3210.8155965929645,4900.0,3236.1413876558186,51.0,3.0,884.8115901190968,1519.8022179869731,1
15,6300.0,3166.52082257608,5600.0,3210.8155965929645,52.0,3.0,1376.7735380807828,2896.5757560677557,1
16,7000.0,3172.9302176903893,6300.0,3166.52082257608,53.0,3.0,2159.158861337535,5055.734617405291,1
17,7672.053491328755,2800.0,7000.0,3172.9302176903893,54.0,2.0,9204.48748207681,14260.2220994821,1
18,7687.3500260280225,2100.0,7672.053491328755,2800.0,43.0,2.0,3375.8622277910868,17636.084327273187,1
19,7692.916589050323,1400.0,7687.3500260280225,2100.0,32.0,2.0,1720.219695973507,19356.304023246696,1
20,7695.320660176337,700.0,7692.916589050323,1400.0,21.0,2.0,1053.4007877579552,20409.704811004653,1
21,,,,,,,363.6093796378748,20773.314190642526,1
22,4200.0,3645.833333333333,4200.0,3645.833333333333,60.0,3.0,69.81300089047195,69.81300089047195,2
23,4673.117097626507,3500.0,4200.0,3645.833333333333,61.0,2.0,266.8375815359616,336.6505824264335,2
24,4900.0,3356.138598553364,4673.117097626507,3500.0,50.0,3.0,226.11864376901624,562.7692261954497,2
25,5600.0,3408.6137248211794,4900.0,3356.138598553364,51.0,3.0,884.8115901190968,1447.5808163145466,2
