,x,y,icell1,iface,ele0,qf,ele,dt1,btime,cellp
0,4200.0,3529.166666666667,60,3,0,8.592976237481292,0,69.81300089047195,11039.775423270337,10
1,4200.0,3587.5,60,3,1,8.592976237481292,1,69.81300089047195,20773.314190642526,10
2,4200.0,3645.833333333333,60,3,2,8.592976237481292,2,69.81300089047195,10684.680903399529,120
3,4200.0,3704.166666666667,60,3,3,8.592976237481292,3,69.81300089047195,7118.886276518918,120
4,4200.0,3762.5,60,3,4,8.592976237481292,4,69.81300089047195,6192.093547671601,120
5,4200.0,3820.833333333333,60,3,5,8.592976237481292,5,69.81300089047195,5905.680011758183,120
6,4200.0,3879.166666666667,60,3,6,8.592976237481292,6,69.81300089047195,6355.903505032563,120
7,4200.0,3937.5,60,3,7,8.592976237481292,7,69.81300089047195,7477.873981592435,120
8,4200.0,3995.833333333333,60,3,8,8.592976237481292,8,69.81300089047195,5841.678160241184,120
9,4200.0,4054.166666666667,60,3,9,8.592976237481292,9,69.81300089047195,5579.460709888401,120
10,4200.0,4112.5,60,3,10,8.592976237481292,10,69.81300089047195,6147.8560326677725,120
11,4200.0,4170.833333333334,60,3,11,8.592976237481292,11,69.81300089047195,7601.869189403626,120
12,3500.0,3518.421052631579,60,1,12,8.79460805204147,12,69.81300089047195,4136.7592893072215,0
13,3500.0,3555.2631578947367,60,1,13,8.79460805204147,13,69.81300089047195,4084.384885087798,0
14,3500.0,3592.105263157895,60,1,14,8.79460805204147,14,69.81300089047195,4193.889411317856,0
15,3500.0,3628.9473684210525,60,1,15,8.79460805204147,15,69.81300089047195,4546.955605535889,0
16,3500.0,3665.789473684211,60,1,16,8.79460805204147,16,69.81300089047195,5105.243955783474,0
17,3500.0,3702.6315789473683,60,1,17,8.79460805204147,17,69.81300089047195,7354.3845849573445,0
18,3500.0,3739.4736842105267,60,1,18,8.79460805204147,18,69.81300089047195,6657.548522509026,0
19,3500.0,3776.315789473684,60,1,19,8.79460805204147,19,69.81300089047195,7217.62074160701,0
20,3500.0,3813.1578947368425,60,1,20,8.79460805204147,20,69.81300089047195,8645.755869135726,0
21,3500.0,3850.0,60,1,21,8.79460805204147,21,69.81300089047195,18938.040563446975,0
22,3500.0,3886.842105263158,60,1,22,8.79460805204147,22,69.81300089047195,13661.956494566939,110
23,3500.0,3923.684210526316,60,1,23,8.79460805204147,23,69.81300089047195,9759.793145079046,110
24,3500.0,3960.5263157894738,60,1,24,8.79460805204147,24,69.81300089047195,8389.773541746325,110
25,3500.0,3997.3684210526317,60,1,25,8.79460805204147,25,69.81300089047195,7555.020853777922,110
26,3500.0,4034.210526315789,60,1,26,8.79460805204147,26,69.81300089047195,7054.400691926752,110
27,3500.0,4071.0526315789475,60,1,27,8.79460805204147,27,69.81300089047195,7140.76407087708,110
28,3500.0,4107.894736842105,60,1,28,8.79460805204147,28,69.81300089047195,8513.929467205493,110
29,3500.0,4144.736842105263,60,1,29,8.79460805204147,29,69.81300089047195,34007.53658334531,120
30,3500.0,4181.578947368422,60,1,30,8.79460805204147,30,69.81300089047195,10642.728601759785,120
31,3543.75,4200.0,60,4,31,8.584957936353264,31,69.81300089047195,8264.549773915323,120
32,3631.25,4200.0,60,4,32,8.584957936353264,32,69.81300089047195,7435.411794252859,120
33,3718.75,4200.0,60,4,33,8.584957936353264,33,69.81300089047195,7648.5369719174105,120
34,3806.25,4200.0,60,4,34,8.584957936353264,34,69.81300089047195,7844.75065775722,120
35,3893.75,4200.0,60,4,35,8.584957936353264,35,69.81300089047195,8385.589117854683,120
36,3981.25,4200.0,60,4,36,8.584957936353264,36,69.81300089047195,6290.466171791115,120
37,4068.75,4200.0,60,4,37,8.584957936353264,37,69.81300089047195,6036.630718614046,120
38,4156.25,4200.0,60,4,38,8.584957936353264,38,69.81300089047195,7035.53755936415,120
39,3519.4444444444443,3500.0,60,2,39,8.950392703922962,39,69.81300089047195,4212.958584936021,0
40,3558.333333333333,3500.0,60,2,40,8.950392703922962,40,69.81300089047195,4321.196815115165,0
41,3597.222222222222,3500.0,60,2,41,8.950392703922962,41,69.81300089047195,4472.1066234855125,0
42,3636.1111111111113,3500.0,60,2,42,8.950392703922962,42,69.81300089047195,4689.995274508014,0
43,3675.0,3500.0,60,2,43,8.950392703922962,43,69.81300089047195,5095.253722625032,0
44,3713.8888888888887,3500.0,60,2,44,8.950392703922962,44,69.81300089047195,5732.506666741019,0
45,3752.777777777778,3500.0,60,2,45,8.950392703922962,45,69.81300089047195,6857.560391255468,0
46,3791.666666666667,3500.0,60,2,46,8.950392703922962,46,69.81300089047195,9662.41281289236,0
47,3830.5555555555557,3500.0,60,2,47,8.950392703922962,47,69.81300089047195,19390.92829979176,0
48,3869.4444444444443,3500.0,60,2,48,8.950392703922962,48,69.81300089047195,9126.106935740198,10
49,3908.333333333333,3500.0,60,2,49,8.950392703922962,49,69.81300089047195,7184.8618686011005,10
50,3947.222222222222,3500.0,60,2,50,8.950392703922962,50,69.81300089047195,6777.102888237672,10
51,3986.1111111111113,3500.0,60,2,51,8.950392703922962,51,69.81300089047195,7506.273253153019,10
52,4025.0,3500.0,60,2,52,8.950392703922962,52,69.81300089047195,9739.343969892174,10
53,4063.8888888888887,3500.0,60,2,53,8.950392703922962,53,69.81300089047195,9196.797918763874,10
54,4102.777777777777,3500.0,60,2,54,8.950392703922962,54,69.81300089047195,7791.604368004937,10
55,4141.666666666667,3500.0,60,2,55,8.950392703922962,55,69.81300089047195,7741.20843471797,10
