,x,y,icell1,iface,ele0,qf,ele,dt1,btime,cellp
0,4200.0,3543.75,60,3,0,15.624999999999993,0,69.81300089047195,6262.866753163557,10
1,4200.0,3631.25,60,3,1,15.624999999999993,1,69.81300089047195,6725.133191607495,10
2,4200.0,3718.75,60,3,2,15.624999999999993,2,69.81300089047195,7972.521868010156,10
3,4200.0,3806.25,60,3,3,15.624999999999993,3,69.81300089047195,11532.89154481069,10
4,4200.0,3893.75,60,3,4,15.624999999999993,4,69.81300089047195,11532.891544811428,120
5,4200.0,3981.25,60,3,5,15.624999999999993,5,69.81300089047195,7972.52186801019,120
6,4200.0,4068.75,60,3,6,15.624999999999993,6,69.81300089047195,6714.487574432677,120
7,4200.0,4156.25,60,3,7,15.624999999999993,7,69.81300089047195,6262.77375732372,120
8,3500.0,3543.75,60,1,8,15.624999999999993,8,69.81300089047195,6262.773757323704,0
9,3500.0,3631.25,60,1,9,15.624999999999993,9,69.81300089047195,6725.133191607528,0
10,3500.0,3718.75,60,1,10,15.624999999999993,10,69.81300089047195,7972.521868010194,0
11,3500.0,3806.25,60,1,11,15.624999999999993,11,69.81300089047195,11532.891544811095,0
12,3500.0,3893.75,60,1,12,15.624999999999993,12,69.81300089047195,11532.891544811235,110
13,3500.0,3981.25,60,1,13,15.624999999999993,13,69.81300089047195,7972.521868010215,110
14,3500.0,4068.75,60,1,14,15.624999999999993,14,69.81300089047195,6714.487574432686,110
15,3500.0,4156.25,60,1,15,15.624999999999993,15,69.81300089047195,6262.866753163557,110
16,3543.75,4200.0,60,4,16,15.624999999999993,16,69.81300089047195,6262.866753163556,110
17,3631.25,4200.0,60,4,17,15.624999999999993,17,69.81300089047195,6714.487574432655,110
18,3718.75,4200.0,60,4,18,15.624999999999993,18,69.81300089047195,7972.521868010187,110
19,3806.25,4200.0,60,4,19,15.624999999999993,19,69.81300089047195,11532.891544811093,110
20,3893.75,4200.0,60,4,20,15.624999999999993,20,69.81300089047195,11532.89154481125,120
21,3981.25,4200.0,60,4,21,15.624999999999993,21,69.81300089047195,7972.521868010186,120
22,4068.75,4200.0,60,4,22,15.624999999999993,22,69.81300089047195,6714.487574432677,120
23,4156.25,4200.0,60,4,23,15.624999999999993,23,69.81300089047195,6262.77375732372,120
24,3543.75,3500.0,60,2,24,15.624999999999993,24,69.81300089047195,6262.773757323704,0
25,3631.25,3500.0,60,2,25,15.624999999999993,25,69.81300089047195,6725.133191607528,0
26,3718.75,3500.0,60,2,26,15.624999999999993,26,69.81300089047195,7972.521868010206,0
27,3806.25,3500.0,60,2,27,15.624999999999993,27,69.81300089047195,11532.891544811137,0
28,3893.75,3500.0,60,2,28,15.624999999999993,28,69.81300089047195,11532.891544811037,10
29,3981.25,3500.0,60,2,29,15.624999999999993,29,69.81300089047195,7972.521868010172,10
30,4068.75,3500.0,60,2,30,15.624999999999993,30,69.81300089047195,6725.133191607493,10
31,4156.25,3500.0,60,2,31,15.624999999999993,31,69.81300089047195,6262.86675316356,10
