,xst,yst,xin,yin,exitcell,exitface,dtau,tsum,line
0,4200.0,3543.75,4200.0,3543.75,60.0,3.0,69.81300089047195,69.81300089047195,0
1,4359.427877473661,3500.0,4200.0,3543.75,61.0,2.0,67.94161832946712,137.75461921993906,0
2,4900.0,2961.3459581281663,4359.427877473661,3500.0,50.0,3.0,783.0588235294163,920.8134427493553,0
3,5171.4373575874615,2800.0,4900.0,2961.3459581281663,51.0,2.0,414.0514271084644,1334.8648698578197,0
4,5600.0,2371.4373575874615,5171.4373575874615,2800.0,40.0,3.0,1048.1183009749695,2382.9831708327893,0
5,5900.262105738372,2100.0,5600.0,2371.4373575874615,41.0,2.0,765.1382087791753,3148.1213796119646,0
6,6300.0,1700.2621057383722,5900.262105738372,2100.0,30.0,3.0,1081.4394806690093,4229.560860280973,0
7,6518.7952656855305,1400.0,6300.0,1700.2621057383722,31.0,2.0,618.7897250682317,4848.350585349205,0
8,7000.0,918.7952656855305,6518.7952656855305,1400.0,20.0,3.0,948.6241706213149,5796.97475597052,0
9,7088.552714618852,700.0,7000.0,918.7952656855305,21.0,2.0,186.6399936311487,5983.614749601669,0
10,,,,,,,279.2520035618878,6262.866753163557,0
11,4200.0,3631.25,4200.0,3631.25,60.0,3.0,69.81300089047195,69.81300089047195,1
12,4678.283632420985,3500.0,4200.0,3631.25,61.0,2.0,239.1408234726499,308.95382436312184,1
13,4900.0,3277.287271149146,4678.283632420985,3500.0,50.0,3.0,323.76470588235367,632.7185302454754,1
14,5600.0,2880.3628611971317,4900.0,3277.287271149146,51.0,3.0,1162.5169626837983,1795.2354929292737,1
15,5743.218397242555,2800.0,5600.0,2880.3628611971317,52.0,2.0,282.69683356051144,2077.9323264897853,1
16,6300.0,2308.812168971812,5743.218397242555,2800.0,41.0,3.0,1536.1118751056717,3614.044201595457,1
17,6471.330583947254,2100.0,6300.0,2308.812168971812,42.0,2.0,541.813324665525,4155.857526260982,1
18,6947.231554548439,1400.0,6471.330583947254,2100.0,31.0,2.0,1539.142210077438,5694.99973633842,1
19,7000.0,1347.231554548439,6947.231554548439,1400.0,20.0,3.0,104.02520846511554,5799.024944803536,1
20,7261.953159556115,700.0,7000.0,1347.231554548439,21.0,2.0,646.8562432420708,6445.881188045607,1
21,,,,,,,279.2520035618878,6725.133191607495,1
22,4200.0,3718.75,4200.0,3718.75,60.0,3.0,69.81300089047195,69.81300089047195,2
23,4900.0,3559.0848548105655,4200.0,3718.75,61.0,3.0,404.9730681855913,474.7860690760632,2
24,5172.913868368021,3500.0,4900.0,3559.0848548105655,62.0,2.0,264.3158775393376,739.1019466154007,2
25,5600.0,3300.3803251121044,5172.913868368021,3500.0,51.0,3.0,746.0997106009878,1485.2016572163884,2
